business_name,business_id,snapshot_at,creative_id,name,format,age_days,spend,purchases,purchase_value,impressions,link_clicks,roas,cpa,ctr,bench_roas,bench_cpa,bench_reliability,fatigue_status,frequency,economics_status,target_roas,breakeven_roas,deploy_compat,truth_state,operator_disposition,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v1_confidence,v1_score
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_6ip33q,Loved styling,video,31,13.55,1,465.83,763,19,34.38,13.55,2.49,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,92
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_16vnta7,A soulful gift,video,31,13.25,0,0,593,11,0,0,1.85,,,,none,,blocked,3.5,2.7,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,70
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_kidoxv,It became the favorite,video,31,3.09,0,0,162,1,0,0,0.62,,,,none,,blocked,3.5,2.7,compatible,inactive_or_immaterial,archive_only,block_deploy,retired,pause,0.44,46
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_8jo0k8,Start with,image,31,2.43,0,0,228,2,0,0,0.88,,,,none,,blocked,3.5,2.7,compatible,inactive_or_immaterial,archive_only,block_deploy,retired,pause,0.44,46
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_v5fbmo,Joyful prep,video,31,0.15,0,0,94,1,0,0,1.06,,,,none,,blocked,3.5,2.7,compatible,inactive_or_immaterial,archive_only,block_deploy,retired,pause,0.44,46
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1emvy5x,EMB - CatalogAd,catalog,30,12338.65,84,16183.78,884938,20604,1.31,146.89,2.33,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_8qhjj,EmB - Catalog Ad,catalog,30,7422.19,53,9839.51,251725,7265,1.33,140.04,2.89,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,72
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_2dptrn,Advantage+ catalog,catalog,30,2122.32,21,5171.41,55133,2056,2.44,101.06,3.73,,,,none,,eligible,2.2,1.71,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,100
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_2chqoy,wearthefearrevise,image,30,1950.29,9,1861,31721,1412,0.95,216.7,4.45,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,70
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_23qk12,Advantage+ catalog ad,catalog,30,1612.71,13,2667.7,130384,3293,1.65,124.05,2.53,,,,fatigued,,blocked,2.2,1.71,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.72,44
